,feature,data,attention
0,MMSEORDA,2,-0.0
1,MMSEORLO,2,-0.0
2,PENTAGON,0,-0.0
3,NACCMMSE,16,-0.0
4,NPSYCLOC,3,3.9498
5,NPSYLAN,1,5.5751
6,LOGIPREV,0,-0.0
7,LOGIMEM,0,-0.0
8,MEMUNITS,0,-0.0
9,MEMTIME,0,0.0
10,UDSBENTC,0,1.3879
11,UDSBENTD,0,3.3084
12,UDSBENRS,0,5.8068
13,DIGIF,0,-0.0
14,DIGIFLEN,0,-0.0
15,DIGIB,0,0.0
16,DIGIBLEN,0,0.0
17,ANIMALS,0,3.7855
18,VEG,0,4.4545
19,TRAILA,0,4.4564
20,TRAILARR,0,-1.7827
21,TRAILALI,0,-1.1391
22,TRAILB,0,-5.1701
23,TRAILBRR,0,-3.4897
24,TRAILBLI,0,-1.2304
25,WAIS,0,-0.0
26,BOSTON,0,-0.0
27,UDSVERFC,0,2.1061
28,UDSVERFN,0,7.9796
29,UDSVERNF,0,-0.769
30,UDSVERLC,0,1.9104
31,UDSVERLR,0,-5.3666
32,UDSVERLN,0,0.4209
33,UDSVERTN,0,-2.5557
34,UDSVERTE,0,-1.9161
35,UDSVERTI,0,-2.414
36,MOCATOTS,0,-0.4391
37,NACCMOCA,0,-1.0187
38,MOCATRAI,0,-1.9612
39,MOCACUBE,0,-2.4329
40,MOCACLOC,0,5.6491
41,MOCACLON,0,5.4506
42,MOCACLOH,0,4.3944
43,MOCANAMI,0,-0.551
44,MOCAREGI,0,3.021
45,MOCADIGI,0,-5.387
46,MOCALETT,0,5.9335
47,MOCASER7,0,-1.9257
48,MOCAREPE,0,6.9999
49,MOCAFLUE,0,5.5075
50,MOCAABST,0,-5.2941
51,MOCARECN,0,3.9323
52,MOCARECC,0,0.0
53,MOCARECR,0,-0.0
54,MOCAORDT,0,5.3083
55,MOCAORDT,0,2.5578
56,MOCAORMO,0,3.0858
57,MOCAORYR,0,1.7683
58,MOCAORDY,0,5.7945
59,MOCAORPL,0,5.2832
60,MOCAORCT,0,5.2984
61,CRAFTVRS,0,2.9409
62,CRAFTURS,0,-0.5184
63,DIGFORCT,0,8.4684
64,DIGFORSL,0,4.3989
65,DIGBACCT,0,3.97
66,DIGBACLS,0,3.7639
67,CRAFTDVR,0,0.479
68,CRAFTDRE,0,8.1474
69,CRAFTDTI,0,1.1683
70,CRAFTCUE,0,-0.9344
71,MINTTOTS,0,-6.2655
72,MINTTOTW,0,-1.6892
73,MINTSCNG,0,-0.4481
74,MINTSCNC,0,-0.0
75,MINTPCNG,0,-2.6126
76,MINTPCNC,0,-0.0
77,MOCBTOTS,0,0.0
78,NACCMOCB,0,0.0
79,REY1REC,0,-0.0
80,REY1INT,0,-0.0
81,REY2REC,0,-0.0
82,REY2INT,0,-0.0
83,REY3REC,0,-0.0
84,REY3INT,0,-0.0
85,REY4REC,0,-0.0
86,REY4INT,0,-0.0
87,REY5REC,0,-0.0
88,REY5INT,0,-0.0
89,REY6REC,0,-0.0
90,REY6INT,0,-0.0
91,OTRAILA,0,-0.0
92,OTRLARR,0,-0.0
93,OTRLALI,0,-0.0
94,OTRAILB,0,-0.0
95,OTRLBRR,0,-0.0
96,OTRLBLI,0,-0.0
97,REYDREC,0,-0.0
98,REYDINT,0,-0.0
99,REYTCOR,0,-0.0
100,REYFPOS,0,-0.0
101,VNTTOTW,0,-0.0
102,VNTPCNC,0,-0.0
